cluster,cpufreq,ddrfreq,w1,w2,w3,bias
1,2227200,200,0,0,0,0
1,2227200,300,0.000664761,0.076587801,0.011669167,1728.205033
1,2227200,451,0.000489361,0.041359918,0.014567913,581.2065168
1,2227200,547,0.000430977,0.042250711,0.011695859,420.5361386
1,2227200,681,0.000394775,0.038567619,0.01166772,272.8981812
1,2227200,768,0.000375946,0.03390087,0.011363061,262.1603401
1,2227200,1017,0.000365441,0.025371949,0.010421656,394.1754749
1,2227200,1353,0.000344175,0.020340648,0.009016858,611.0014568
1,2227200,1555,0.000344574,0.015404849,0.009489199,798.9462805
1,2227200,1804,0.000340669,0.010255164,0.009263301,759.3896489
1,2227200,2092,0.000344388,0.01008311,0.009303454,750.0029923
1,2323200,200,0,0,0,0
1,2323200,300,0.00065284,0.074500668,0.013222127,1577.12023
1,2323200,451,0.00054725,0.03472097,0.016478796,501.0977854
1,2323200,547,0.000424716,0.041765244,0.011425317,464.9554488
1,2323200,681,0.000365375,0.039112792,0.011699958,290.7610348
1,2323200,768,0.000376816,0.033428857,0.011068172,238.4878642
1,2323200,1017,0.000371898,0.025357052,0.009893817,343.7781299
1,2323200,1353,0.000319447,0.021178457,0.008922906,559.7075809
1,2323200,1555,0.000338305,0.014611429,0.009875556,720.4489151
1,2323200,1804,0.000313785,0.01136022,0.009032547,673.2532276
1,2323200,2092,0.000301275,0.011579654,0.009163622,764.1912447
1,2419200,200,0,0,0,0
1,2419200,300,0.00049522,0.077722614,0.014989306,1587.565095
1,2419200,451,0.000521227,0.038472252,0.014003652,388.7353237
1,2419200,547,0.000390049,0.043377698,0.010493874,461.9608938
1,2419200,681,0.000381386,0.03857367,0.011002559,232.2724234
1,2419200,768,0.000373905,0.033467414,0.010421228,281.1524916
1,2419200,1017,0.000364076,0.025823248,0.009093761,414.4534384
1,2419200,1353,0.000327664,0.020206438,0.008746991,512.4493054
1,2419200,1555,0.00033658,0.014988501,0.008642058,841.4506546
1,2419200,1804,0.000315005,0.010083056,0.008550178,823.2281579
1,2419200,2092,0.000309343,0.010387845,0.008827997,808.1738083
